reference,frame_narrator,embed_type,speaker,confidence,needs_review,open_pattern,close_pattern,first_50_chars
"1 Nephi 1:13",FRAME_NEPHI,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And he read, saying: Wo, wo, unto Jerusalem, for I"
"1 Nephi 2:9",FRAME_NEPHI,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And when my father saw that the waters of the rive"
"1 Nephi 2:19",FRAME_NEPHI,EMBED_SPEECH,Nephi,"HIGH",False,"\bsaying\s*[:;,]","","And it came to pass that the Lord spake unto me, s"
"1 Nephi 3:2",FRAME_NEPHI,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And it came to pass that he spake unto me, saying:"
"1 Nephi 3:29",FRAME_NEPHI,EMBED_SPEECH,Lord,"HIGH",False,"\b(and|now)\s+\w+\s+(said|saith|spake|cr","","And it came to pass as they smote us with a rod, b"
"1 Nephi 3:31",FRAME_NEPHI,EMBED_SPEECH,Angel,"HIGH",False,"\bsaying\s*[:;,]","","And after the angel had departed, Laman and Lemuel"
"1 Nephi 4:1",FRAME_NEPHI,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And it came to pass that I spake unto my brethren,"
"1 Nephi 4:4",FRAME_NEPHI,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","Now when I had spoken these words, they were yet w"
"1 Nephi 4:34",FRAME_NEPHI,EMBED_SPEECH,Lord,"HIGH",False,"\bsaying\s*[:;,]","","And I also spake unto him, saying: Surely the Lord"
"1 Nephi 5:2",FRAME_NEPHI,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","For she had supposed that we had perished in the w"
"1 Nephi 5:4",FRAME_NEPHI,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And it had come to pass that my father spake unto "
"1 Nephi 5:8",FRAME_NEPHI,EMBED_SPEECH,Lord,"HIGH",False,"\b(and|now)\s+\w+\s+(said|saith|spake|cr","","And she spake, saying: Now I know of a surety that"
"1 Nephi 7:8",FRAME_NEPHI,NONE,,"HIGH",True,"\bsaying\s*[:;,]","","And now I, Nephi, being grieved for the hardness o"
"1 Nephi 7:17",FRAME_NEPHI,EMBED_SPEECH,Lord,"HIGH",False,"\bsaying\s*[:;,]","","But it came to pass that I prayed unto the Lord, s"
"1 Nephi 7:18",FRAME_NEPHI,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And it came to pass that when I had said these wor"
"1 Nephi 8:2",FRAME_NEPHI,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And it came to pass that while my father tarried i"
"1 Nephi 8:34",FRAME_NEPHI,EMBED_SPEECH,,"MEDIUM",True,"\bthese are the words (of|which)\b","","These are the words of my father: For as many as h"
"1 Nephi 9:6",FRAME_NEPHI,NONE,,"LOW",True,"","\bamen\b","But the Lord knoweth all things from the beginning"
"1 Nephi 10:2",FRAME_NEPHI,EMBED_SPEECH,,"MEDIUM",True,"\bhe\s+spake\s+unto\s+them\b","\bhad\s+(made\s+an\s+end|finished)\s+(of","For behold, it came to pass after my father had ma"
"1 Nephi 11:6",FRAME_NEPHI,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And when I had spoken these words, the Spirit crie"
"1 Nephi 11:10",FRAME_NEPHI,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","And he said unto me: What desirest thou?"
"1 Nephi 11:11",FRAME_NEPHI,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","And I said unto him: To know the interpretation th"
"1 Nephi 11:14",FRAME_NEPHI,EMBED_SPEECH,Angel,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","","And it came to pass that I saw the heavens open; a"
"1 Nephi 11:15",FRAME_NEPHI,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","And I said unto him: A virgin, most beautiful and "
"1 Nephi 11:16",FRAME_NEPHI,EMBED_SPEECH,God,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","","And he said unto me: Knowest thou the condescensio"
"1 Nephi 11:17",FRAME_NEPHI,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","And I said unto him: I know that he loveth his chi"
