reference,frame_narrator,embed_type,speaker,confidence,needs_review,review_reasons,first_50_chars
"1 Nephi 8:34",FRAME_NEPHI,EMBED_SPEECH,,"MEDIUM",True,"Speech detected but speaker unknown","These are the words of my father: For as many as h"
"1 Nephi 9:6",FRAME_NEPHI,NONE,,"LOW",True,"Low confidence detection","But the Lord knoweth all things from the beginning"
"1 Nephi 10:2",FRAME_NEPHI,NONE,,"LOW",True,"Low confidence detection","For behold, it came to pass after my father had ma"
"1 Nephi 11:23",FRAME_NEPHI,EMBED_SPEECH,,"MEDIUM",True,"Speech detected but speaker unknown","And he spake unto me, saying: Yea, and the most jo"
"1 Nephi 14:30",FRAME_NEPHI,NONE,,"LOW",True,"Low confidence detection","And now I make an end of speaking concerning the t"
"1 Nephi 15:36",FRAME_NEPHI,NONE,,"LOW",True,"Low confidence detection","Wherefore, the wicked are rejected from the righte"
"1 Nephi 18:10",FRAME_NEPHI,NONE,,"HIGH",True,"Speech detected but speaker unknown","And I, Nephi, began to fear exceedingly lest the L"
"1 Nephi 22:31",FRAME_NEPHI,NONE,,"LOW",True,"Low confidence detection","Wherefore, ye need not suppose that I and my fathe"
"2 Nephi 2:30",FRAME_NEPHI,NONE,,"LOW",True,"Low confidence detection","I have spoken these few words unto you all, my son"
"2 Nephi 3:25",FRAME_NEPHI,NONE,,"LOW",True,"Low confidence detection","And now, blessed art thou, Joseph. Behold, thou ar"
"2 Nephi 4:3",FRAME_NEPHI,NONE,,"LOW",True,"Low confidence detection","Wherefore, after my father had made an end of spea"
"2 Nephi 4:8",FRAME_NEPHI,NONE,,"LOW",True,"Low confidence detection","And it came to pass that after my father had made "
"2 Nephi 4:9",FRAME_NEPHI,EMBED_SPEECH,,"MEDIUM",True,"Speech detected but speaker unknown","And he spake unto them, saying: Behold, my sons an"
"2 Nephi 4:10",FRAME_NEPHI,NONE,,"LOW",True,"Low confidence detection","And it came to pass that when my father had made a"
"2 Nephi 4:11",FRAME_NEPHI,NONE,,"LOW",True,"Low confidence detection","And after he had made an end of speaking unto them"
"2 Nephi 4:35",FRAME_NEPHI,NONE,,"LOW",True,"Low confidence detection","Yea, I know that God will give liberally to him th"
"2 Nephi 9:54",FRAME_NEPHI,NONE,,"LOW",True,"Low confidence detection","And now, my brethren, I would speak unto you more;"
"2 Nephi 10:25",FRAME_NEPHI,NONE,,"LOW",True,"Low confidence detection","Wherefore, may God raise you from death by the pow"
"2 Nephi 31:21",FRAME_NEPHI,NONE,,"LOW",True,"Low confidence detection","And now, behold, my beloved brethren, this is the "
"2 Nephi 33:15",FRAME_NEPHI,NONE,,"LOW",True,"Low confidence detection","For what I seal on earth, shall be brought against"
"Jacob 6:13",FRAME_JACOB,NONE,,"LOW",True,"Low confidence detection","Finally, I bid you farewell, until I shall meet yo"
"Jacob 7:2",FRAME_JACOB,EMBED_SPEECH,,"MEDIUM",True,"Speech detected but speaker unknown","And it came to pass that he began to preach among "
"Enos 1:27",FRAME_ENOS,NONE,,"LOW",True,"Low confidence detection","And I soon go to the place of my rest, which is wi"
"Omni 1:1",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","Behold, it came to pass that I, Omni, being comman"
"Omni 1:2",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","Wherefore, in my days, I would that ye should know"
"Omni 1:3",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","And it came to pass that two hundred and seventy a"
"Omni 1:4",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","And now I, Amaron, write the things whatsoever I w"
"Omni 1:5",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","Behold, it came to pass that three hundred and twe"
"Omni 1:6",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","For the Lord would not suffer, after he had led th"
"Omni 1:7",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","Wherefore, the Lord did visit them in great judgme"
"Omni 1:8",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","And it came to pass that I did deliver the plates "
"Omni 1:9",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","Now I, Chemish, write what few things I write, in "
"Omni 1:10",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","Behold, I, Abinadom, am the son of Chemish. Behold"
"Omni 1:11",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","And behold, the record of this people is engraven "
"Omni 1:12",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","Behold, I am Amaleki, the son of Abinadom. Behold,"
"Omni 1:13",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","And it came to pass that he did according as the L"
"Omni 1:14",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","And they discovered a people, who were called the "
"Omni 1:15",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","Behold, it came to pass that Mosiah discovered tha"
"Omni 1:16",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","And they journeyed in the wilderness, and were bro"
"Omni 1:17",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","And at the time that Mosiah discovered them, they "
"Omni 1:18",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","But it came to pass that Mosiah caused that they s"
"Omni 1:19",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","And it came to pass that the people of Zarahemla, "
"Omni 1:20",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","And it came to pass in the days of Mosiah, there w"
"Omni 1:21",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","And they gave an account of one Coriantumr, and th"
"Omni 1:22",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","It also spake a few words concerning his fathers. "
"Omni 1:23",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","Behold, I, Amaleki, was born in the days of Mosiah"
"Omni 1:24",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","And behold, I have seen, in the days of king Benja"
"Omni 1:25",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","And it came to pass that I began to be old; and, h"
"Omni 1:26",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","And now, my beloved brethren, I would that ye shou"
"Omni 1:27",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","And now I would speak somewhat concerning a certai"
"Omni 1:28",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","Wherefore, they went up into the wilderness. And t"
"Omni 1:29",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","And it came to pass that they also took others to "
"Omni 1:30",FRAME_OMNI_MULTIPLE,NONE,,"HIGH",True,"Multiple mini-narrators in Omni","And I, Amaleki, had a brother, who also went with "
"Mosiah 1:9",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"Low confidence detection","And it came to pass that after king Benjamin had m"
"Mosiah 2:8",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"Speech detected but speaker unknown","And it came to pass that he began to speak to his "
"Mosiah 2:9",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"Speech detected but speaker unknown","And these are the words which he spake and caused "
"Mosiah 3:27",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"Low confidence detection","And their torment is as a lake of fire and brimsto"
"Mosiah 4:1",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"Low confidence detection","And now, it came to pass that when king Benjamin h"
"Mosiah 5:15",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"Low confidence detection","Therefore, I would that ye should be steadfast and"
"Mosiah 8:1",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"Low confidence detection","And it came to pass that after king Limhi had made"
"Mosiah 8:19",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"Low confidence detection","And now, when Ammon had made an end of speaking th"
"Mosiah 10:22",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"Low confidence detection","And now I, being old, did confer the kingdom upon "
"Mosiah 16:15",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"Low confidence detection","Teach them that redemption cometh through Christ t"
"Mosiah 25:14",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"Low confidence detection","And now it came to pass that when Mosiah had made "
"Mosiah 25:17",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"Low confidence detection","And it came to pass that after Alma had taught the"
"Mosiah 27:23",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"Speech detected but speaker unknown","And it came to pass after they had fasted and pray"
"Alma 5:2",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"Speech detected but speaker unknown","And these are the words which he spake to the peop"
"Alma 6:1",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"Low confidence detection","And now it came to pass that after Alma had made a"
"Alma 6:8",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"Low confidence detection","And Alma went and began to declare the word of God"
"Alma 7:27",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"Low confidence detection","And now, may the peace of God rest upon you, and u"
"Alma 8:32",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"Speech detected but speaker unknown","And it came to pass that they went forth and began"
"Alma 11:46",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"Low confidence detection","Now, when Amulek had finished these words the peop"
